bootstrap_id,is_bootstrap,label_ratio,macro_f1,original_mean,original_std,strategy,f1_gain,relative_improvement,efficiency,performance_retention
0,True,0,15.59605698361348,15.0,1.2,zero_shot,0.5960569836134795,3.9737132240898627,0.0,18.72275748332951
1,True,0,14.834082838594579,15.0,1.2,zero_shot,-0.1659171614054209,-1.1061144093694726,0.0,17.80802261535964
2,True,0,15.777226245720831,15.0,1.2,zero_shot,0.777226245720831,5.18150830480554,0.0,18.94024759390256
3,True,0,16.82763582768963,15.0,1.2,zero_shot,1.8276358276896296,12.184238851264197,0.0,20.201243490623806
4,True,0,14.719015950331997,15.0,1.2,zero_shot,-0.28098404966800317,-1.8732269977866878,0.0,17.66988709523649
5,True,0,14.719035651660983,15.0,1.2,zero_shot,-0.2809643483390172,-1.873095655593448,0.0,17.6699107462917
6,True,0,16.89505537860887,15.0,1.2,zero_shot,1.8950553786088697,12.633702524059132,0.0,20.28217932606107
7,True,0,15.920921674983491,15.0,1.2,zero_shot,0.9209216749834912,6.139477833223275,0.0,19.11275111042436
8,True,0,14.436630736878058,15.0,1.2,zero_shot,-0.5633692631219418,-3.7557950874796115,0.0,17.330889239949652
9,True,0,15.651072052303158,15.0,1.2,zero_shot,0.6510720523031583,4.340480348687723,0.0,18.788801983557214
10,True,0,14.443898768625045,15.0,1.2,zero_shot,-0.5561012313749547,-3.707341542499698,0.0,17.339614368097294
11,True,0,14.441124295715692,15.0,1.2,zero_shot,-0.5588757042843078,-3.7258380285620523,0.0,17.33628366832616
12,True,0,15.29035472587924,15.0,1.2,zero_shot,0.29035472587924005,1.935698172528267,0.0,18.355767978246387
13,True,0,12.704063706410643,15.0,1.2,zero_shot,-2.2959362935893566,-15.306241957262376,0.0,15.250976838428143
14,True,0,12.93009860098436,15.0,1.2,zero_shot,-2.06990139901564,-13.799342660104266,0.0,15.522327252082066
15,True,0,14.325254964910833,15.0,1.2,zero_shot,-0.6747450350891668,-4.498300233927779,0.0,17.197184831825734
16,True,0,13.784602655598691,15.0,1.2,zero_shot,-1.2153973444013086,-8.10264896267539,0.0,16.54814244369591
17,True,0,15.377096799114328,15.0,1.2,zero_shot,0.37709679911432836,2.5139786607621892,0.0,18.459900118984788
18,True,0,13.910371109374546,15.0,1.2,zero_shot,-1.0896288906254536,-7.264192604169691,0.0,16.69912498124195
19,True,0,13.30523555839765,15.0,1.2,zero_shot,-1.6947644416023504,-11.298429610682335,0.0,15.97267173877269
20,True,0,16.758778522705864,15.0,1.2,zero_shot,1.7587785227058639,11.725190151372427,0.0,20.118581659911
21,True,0,14.729068439416157,15.0,1.2,zero_shot,-0.2709315605838434,-1.8062104038922893,0.0,17.681954909263094
22,True,0,15.081033845625509,15.0,1.2,zero_shot,0.08103384562550886,0.5402256375033925,0.0,18.104482407713697
23,True,0,13.290302176543852,15.0,1.2,zero_shot,-1.709697823456148,-11.397985489707652,0.0,15.954744509656486
24,True,0,14.346740730569781,15.0,1.2,zero_shot,-0.6532592694302188,-4.355061796201459,0.0,17.2229780679109
25,True,0,15.133107107651838,15.0,1.2,zero_shot,0.13310710765183842,0.8873807176789228,0.0,18.16699532731313
26,True,0,13.618807707093236,15.0,1.2,zero_shot,-1.3811922929067642,-9.207948619378428,0.0,16.349108892068713
27,True,0,15.450837622014806,15.0,1.2,zero_shot,0.4508376220148058,3.005584146765372,0.0,18.54842451622426
28,True,0,14.279233572097434,15.0,1.2,zero_shot,-0.7207664279025661,-4.80510951935044,0.0,17.14193706134146
29,True,0,14.649967500248067,15.0,1.2,zero_shot,-0.35003249975193285,-2.333549998346219,0.0,17.586995798617128
30,True,0,14.277952065324724,15.0,1.2,zero_shot,-0.7220479346752757,-4.813652897835172,0.0,17.140398637844807
31,True,0,17.222733821410724,15.0,1.2,zero_shot,2.222733821410724,14.818225476071495,0.0,20.675550806015274
32,True,0,14.98380333031448,15.0,1.2,zero_shot,-0.01619666968552025,-0.10797779790346833,0.0,17.987759100017385
33,True,0,13.73074688525292,15.0,1.2,zero_shot,-1.2692531147470802,-8.461687431647201,0.0,16.48348965816677
34,True,0,15.987053894523827,15.0,1.2,zero_shot,0.987053894523827,6.580359296825514,0.0,19.19214153004061
35,True,0,13.534987620034773,15.0,1.2,zero_shot,-1.465012379965227,-9.766749199768181,0.0,16.24848453785687
36,True,0,15.250636314005707,15.0,1.2,zero_shot,0.25063631400570685,1.670908760038046,0.0,18.308086811531464
37,True,0,12.648395851344269,15.0,1.2,zero_shot,-2.3516041486557313,-15.677360991038208,0.0,15.184148681085558
38,True,0,13.406176741321884,15.0,1.2,zero_shot,-1.5938232586781158,-10.625488391187439,0.0,16.093849629438036
39,True,0,15.236233483042948,15.0,1.2,zero_shot,0.23623348304294822,1.5748898869529884,0.0,18.290796498250838
40,True,0,15.886159895994492,15.0,1.2,zero_shot,0.8861598959944921,5.907732639963281,0.0,19.071020283306712
41,True,0,15.205641937427965,15.0,1.2,zero_shot,0.20564193742796455,1.3709462495197637,0.0,18.254071953695036
42,True,0,14.86122206113411,15.0,1.2,zero_shot,-0.13877793886588918,-0.9251862591059279,0.0,17.840602714446714
43,True,0,14.638675565292854,15.0,1.2,zero_shot,-0.3613244347071465,-2.40882956471431,0.0,17.573440054373172
44,True,0,13.225773611559088,15.0,1.2,zero_shot,-1.774226388440912,-11.828175922939414,0.0,15.877279245569135
45,True,0,14.13618694992635,15.0,1.2,zero_shot,-0.8638130500736505,-5.75875366715767,0.0,16.970212424881574
46,True,0,14.447233474848256,15.0,1.2,zero_shot,-0.5527665251517444,-3.685110167678296,0.0,17.343617616864655
47,True,0,16.268546671462698,15.0,1.2,zero_shot,1.2685466714626976,8.456977809751317,0.0,19.530068032968426
48,True,0,15.412341947482155,15.0,1.2,zero_shot,0.4123419474821546,2.748946316547697,0.0,18.502211221467174
49,True,0,12.88435181356472,15.0,1.2,zero_shot,-2.11564818643528,-14.104321242901866,0.0,15.467409139933638
50,True,0,15.388900763273753,15.0,1.2,zero_shot,0.3889007632737531,2.5926717551583542,0.0,18.474070544146162
51,True,0,14.53790126350042,15.0,1.2,zero_shot,-0.46209873649958055,-3.080658243330537,0.0,17.452462501200987
52,True,0,14.18769359963285,15.0,1.2,zero_shot,-0.8123064003671505,-5.41537600244767,0.0,17.032045137614464
53,True,0,15.734011546609041,15.0,1.2,zero_shot,0.7340115466090413,4.893410310726942,0.0,18.888369203612296
54,True,0,16.23719942699514,15.0,1.2,zero_shot,1.23719942699514,8.2479961799676,0.0,19.492436286908934
55,True,0,16.11753614293944,15.0,1.2,zero_shot,1.1175361429394393,7.450240952929595,0.0,19.3487828846812
56,True,0,13.992938972132833,15.0,1.2,zero_shot,-1.0070610278671666,-6.71374018578111,0.0,16.798246064985396
57,True,0,14.628945148978543,15.0,1.2,zero_shot,-0.37105485102145686,-2.473699006809712,0.0,17.561758882327183
58,True,0,15.397516117684276,15.0,1.2,zero_shot,0.3975161176842761,2.650107451228507,0.0,18.48441310646372
59,True,0,16.17065415254683,15.0,1.2,zero_shot,1.170654152546831,7.8043610169788735,0.0,19.412550003057422
60,True,0,14.424990914585653,15.0,1.2,zero_shot,-0.5750090854143473,-3.833393902762315,0.0,17.316915863848322
61,True,0,14.77720922800342,15.0,1.2,zero_shot,-0.22279077199658026,-1.4852718133105351,0.0,17.73974697239306
62,True,0,13.672398031192767,15.0,1.2,zero_shot,-1.3276019688072331,-8.85067979204822,0.0,16.413443014637174
63,True,0,13.564552051103195,15.0,1.2,zero_shot,-1.4354479488968046,-9.569652992645365,0.0,16.283976051744535
64,True,0,15.975030986873037,15.0,1.2,zero_shot,0.9750309868730369,6.50020657915358,0.0,19.177708267554667
65,True,0,16.627488034284987,15.0,1.2,zero_shot,1.627488034284987,10.84992022856658,0.0,19.960970029153646
66,True,0,14.9135878541036,15.0,1.2,zero_shot,-0.0864121458964,-0.5760809726426667,0.0,17.90346681164898
